,商品全名,用户评论时间,用户评论内容
25,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2017-12-13 22:17:09,双十二购的，便宜一点，凌晨拍的，下午就到了，京东就是快。电脑棒棒哒，就是不太会用，appid一直登录不上去，折腾了半天，打客服电话，很给力的帮忙解决了。为客服点个赞！第一次用mac，慢慢习惯吧！对于程序员应该很实用。
26,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2017-11-24 22:58:46,"电脑有问题啊！！！刚用几次，已经出现两次电脑没反应，彩色圈圈一直转的问题，到现在已经转了将近10分钟了，一直没反应。并且下东西速度非常慢！！才100m的东西竟然显示得下两天！！！
而且这次派送也有问题，买了一个星期，系统一直显示一个站点货物太多，让我等等。结果有天早晨莫名其妙地，就显示已收货！！吓得我赶紧起来打电话，结果送到了自提点，还是我自己搭车去取的&hellip;&hellip;
让我老觉得苹果电脑感觉被调包了&hellip;&hellip;不然怎么会出这种问题?"
27,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2017-07-21 08:28:38,稍微适应了一会儿就上手了，确实很好用，尤其是触摸板的逻辑，比鼠标要强很多，办公软件的话买个了许可，和Windows 7就没什么区别了，就是内存空间少了一点，买了一个外接硬盘，实际使用效果不错，如果有的人是使用小米的转换器的话，那个转换器配MacBook会很烫很烫，建议慎重考虑
28,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-06-06 16:00:40,"买之前一直都有担心，网上的评价有褒有贬，看得我眼花缭乱。
之前的iPad和iPhone都是直接在大悦城的实体店里买的，这是第一次在京东买这么贵的东西。犹豫了好久终于下了单，第二天收到，拆箱之前先查了一下序列号，发现没有问题。于是开始激活电脑，屏幕很赞，没有裂痕和缺口，这个清晰度真的感人，幸亏没有买air。总之好评加加加加加啊！都说买到的东西好坏是个概率问题，庆幸自己运气好，买到了一台很赞的机子。这次无论如何都要给京东一个好评！
BTW，真的爱死了苹果系统，买苹果电脑就是为了系统买的，为什么那么多人买了mac却要装双系统呢！！！！！"
29,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2017-11-05 09:00:52,苹果做工非常的好，包装也很简洁但保护很到位，屏幕显示效果也是非常的清晰色彩。新mac pro的touch bar是个亮点，解决的好多原来许多不方便的地方，特别是做设计很方便。发票一共给我开了3张，单张发票好像他的不能超过万元。键盘敲着不是那么舒服，声音确实有点大。总体还是比较好的，还是值那么多钱。
30,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-02-11 19:25:21,快递小哥特别帅，黑西服白手套红领结，商品质量没问题里外三层盒。苹果的东西外观我就不说了，大家都懂，装B首选。做开发和视频图片处理工作如果预算充足还是推荐的。
31,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2017-11-05 18:03:31,送货很快，第二天就到了。电脑也上官网查了序列号，是正品。但是这里有点不爽的是开机到登录appleid的时候电脑就卡死了，键盘触摸板都没有用，问客服也不会，发十几句还要等几分钟才看到回一句，还回的没什么用，最后只能强制重启，这让我很不开心，本来想换货的，想想也没去换。等用几天再来评价一下
32,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-19 18:29:18,在微软的Surface和苹果Mac Pro之间犹豫了很久，还特意跑去**电器商场里面实际的感受了一下两者的实用感受，最终还是选择了苹果，苹果的速度快一点，清晰度更好点，微软的就是具有触屏，而且是我们熟悉的Office。在网上买就怕有假货，当天收到货后，仔细的查了一下，是正品?！希望在使用中也不会出现什么问题。
33,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2017-06-20 13:07:28,"全新的，充电次数一次。
优点:很轻薄，屏幕是我用过笔记本看的最舒服的，正常使用基本没有感觉到温度，使用一小时电量扣了百分之5，可能是浏览网页不怎么费电，触摸板手势很好用。
缺点:苹果系统装软件不方便，软件数量也不多，很多专业软件都没有，我琢磨着外接个固态硬盘装windows。新款logo 不发光，感觉发光好看点。使用过程中偶尔会卡顿。另外接口只有usb-c，还要买转接头，前卫不前卫我不知道，反正现在是非常不方便。一星扣在系统软件不丰富上，苹果再这么封闭下去，会是下一个诺基亚。"
34,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-06-24 16:51:27,618一直在看macbook电脑，先是想买12寸那个，后来去实体店听工作人员建议还有朋友建议说这个价位建议买pro，看了机器，哭的深空灰色越看越好看，更商务，更稳重，用来上班，出差很适合，想买256G的，可是256G一直不秒杀，最终等到128G的8999元秒杀，买了，第二天一看，降到8888了，大喜，马上下了单，自助申请价格保护，呵呵，几十秒系统自动审核成功，退回111元差价，8888元到手，比实体店9588便宜700，很划算，这款电脑我感觉续航不行啊，很发热，电掉得快，总计也就用4个小时左右，感觉，离官方的10个小时相差甚远哦，系统方面，不支持东莞银行，招商银行的网银控件，也不支持工行的企业银行控件，自己百度搜索，摸索着下载安装了双系统，成功登陆工行网银系统，买mac主要是觉得系统安全，但是不知道在虚拟机里上网银危险不啊？拿到机器，一打开上盖自动开机，进入设置页面，整体不错，通过百度可以初步学会使用，还挺好用，就是电池续航差哦！难道我买的不是正品？？？
35,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-18 20:05:57,早上下单，下午就到，物流很好。工作需要，以前都是windows开发，买了pro以后要好好适应了！
36,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2017-08-26 21:11:31,触控条真的很好用，贵2400多也值了
37,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-05-05 23:25:51,这电脑是喝大了么？？不给个解释么？
38,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-06-22 12:29:41,垃圾京东，我买的这个一直觉得是个劣质产品，各种出问题，现在这个大写键每次都关不掉，要重新启动才能关，问售后也没人理，崩溃死了，怪自己当时想着比实体店少花一点钱，现在肠子都悔青了。?
39,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-20 16:51:26,1万多的电脑外包装还是一个塑料袋，也不给送一个购物袋
40,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2017-10-14 09:34:59,真心还不错啊，
41,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-03-08 23:05:13,"第一次用MacBook pro
外观给我的感觉有些很好的金属感，造型漂亮的没得说
系统呢，之前用的虚拟机，学习开发的，但是虚拟机总是各种卡不想说了，为了学习开发忍不住买了它 
从去年一直念到现在的book 到手的感觉很棒哈哈
再说说京东快递吧也是相当给力，凌晨下单下午就送到了，包装也是很有逼格，搞得我连最外面的包装都不想扔，哈哈
奉上朋友拍的写真???"
42,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-06-15 15:48:20,第一台mac入手啦  不设计不作图不玩游戏  只是因为它的颜值哈哈哈  一直用iphone  这个系统还没有辣么难搞  适应过来就好了   分辨率确实赞
43,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-04-10 19:14:12,用了几个月 挺好的
44,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-06-03 18:07:15,谁能告诉我这是怎么回事啊
45,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2017-08-16 17:15:27,京东自营就是黑，商，购买前说支持七天无理由退货，当买回来拆开使用时发现是Windows10的系统，后来让朋友看了是双系统，电脑有两个系统，只能说是别人用过的在转手卖到我手上，客服却说拆封不能退，我买的是256G的内存，在安卓系统已经占了200内存，如果我要安卓的系统1万多何必买苹果呢？只能说一万多在京东买了二手货
46,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-17 16:21:36,快递小哥从大兴跑丰台单独送了过来
47,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-18 19:30:08,电脑从异地调货的，一共买了两台，价格实在，电脑确认过来评价的，很好用，外观很高级，灰色很好看，京东很给力，货真价实，满意
48,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-18 19:29:45,电脑从异地调货的，价格实在，电脑确认过来评价的，很好用，外观很高级，灰色很好看，京东很给力，货真价实，满意
49,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2017-12-13 23:31:03,嗯嗯，值得买！！！深度办公谈不上，软件设计编程也谈不上，发挥便携和颜值担当作用就好啦！跟手里老老年的本子比起来，厚度减了一倍左右，面积少一圈，重量轻不少，可惜没了信仰灯，更郁闷是啥啥端口都改type-c，想连接得买转接头
50,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-19 07:50:38,"618秒杀来的，颜色真好看，价格也很合理，第一次手残党秒来的，感觉很有成就感！
键盘什么很方便，非常喜欢！"
51,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-20 15:25:26,笔记本很棒，速度顺畅，期待更好发现，很理想的又一次京东购物，非常喜欢&hellip;
52,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-21 11:03:09,京尊达的小哥穿的好正式，这么热的天儿，辛苦啦！看了很久终于下手了，第一次用苹果笔记本，好期待！包装超好。
53,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-16 09:06:00,刚到手，感觉还不错，目前没有问题???
54,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-18 09:05:01,刚买了一天，用起来还是不喜欢慢慢适应，我刚买完，第二天就就降价810元，然后申请了价格保护，然后退了810元，京东服务还是相当不错的。
55,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-19 21:34:46,macbookpro还是不错的
56,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-19 07:33:29,酷炫，颜值满分，特别喜欢。
57,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-19 17:57:10,第一次用苹果电脑，工艺不错，系统比Windows有优势。
58,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-20 21:57:35,很好，颜色很漂亮，速度也很快，第一次用苹果，感觉不错，就是软件少了
59,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-22 17:55:31,机型性能杠杠的，送给我兄弟，我兄弟很喜欢！
60,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-22 10:23:02,京东速度钢钢滴，晚上下单，第二天上班已到办公室门口。
61,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-22 17:08:27,还可以，用就好在来。评论吧。
62,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-21 22:24:27,用了一个多月了，简单说下感受和使用情况，网上说的情况有，唤醒的时候花屏出现过两次，都是休眠时间过长才会出现的，使用atom卡死过一会，但是不死机。试用非常顺手，系统确实好用，不爱出小毛病，这个是windows系统不能比的，给人的感觉非常好，虽然配置不好，这应该就是系统的优势吧！已经习惯没有鼠标了。还有一个最大的缺点，就是贵，但值得！
63,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-03-13 22:55:09,没有什么别的乱七八糟的问题，质量还是挺好的，而且客服会确认你是否正常收货，因为这个属于贵重物品。比较适合办公用，不太适合打游戏，还是有一些发热的，笔记本非常的轻薄，背起来一点儿不成，而且续航也挺好的，如果成办公写代码用的话，基本上可以撑一天，不用充电，充电器也非常的轻，相比windows本，不过这一款的苹果logo就不再亮了，没有led灯
64,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-21 09:21:47,送给朋友的礼物！高大上！
65,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-19 22:45:26,很好，第一次买苹果电脑，给孩子上大学的礼物。孩子说不错，具体功能使用慢慢体会。
66,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-21 09:33:51,并没有制服白手套小哥送快递，包装也没有那么多层，不过也无妨。感觉还挺好的，屏幕无敌，触控板很舒服，不送鼠标真的有些可惜，毕竟鼠标还是挺贵的。还是个学生，不玩游戏，只是用来做兼 职工作和娱乐，不得不说画质比air好很多，不过发烫比较严重，不知道大家有没有这种情况。如果预算可以，推荐买pro
67,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-03 12:35:42,最后还是买了，老的该退休了。
